"a",30285331759,1,"ᚪ",97
"i",7899622215,1,"ᛁ",31
"s",1345355452,1,"ᛋ",53
"p",929049236,1,"ᛈ",43
"c",883092357,1,"ᚳ",13
"b",806805692,1,"ᛒ",61
"d",583588182,1,"ᛞ",89
"e",499506445,1,"ᛖ",67
"m",441367251,1,"ᛗ",71
"t",421492308,1,"ᛏ",59
"n",405955090,1,"ᚾ",29
"l",404160295,1,"ᛚ",73
"x",338527486,1,"ᛉ",47
"f",336518599,1,"ᚠ",2
"r",308793080,1,"ᚱ",11
"o",293738275,1,"ᚩ",7
"v",262510244,1,"ᚢ",3
"j",260144283,1,"ᛂ",37
"h",245856157,1,"ᚻ",23
"g",241673426,1,"ᚷ",17
"w",173611017,1,"ᚹ",19
"y",173548512,1,"ᚣ",103
"k",173196151,1,"ᚳ",13
"u",130609439,1,"ᚢ",3
"q",81915626,1,"ᚳ",13
"ing",62494414,1,"ᛝ",79
"z",62398951,1,"ᛋ",53
"th",48565541,1,"ᚦ",5
"io",17729936,1,"ᛡ",107
"ia",16870355,1,"ᛡ",107
"ea",13811698,1,"ᛠ",109
"ae",8451074,1,"ᚫ",101
"oe",4859024,1,"ᛟ",83
